x	I	R	a	n	L	aE
95.1943	1.72629e+016	0.384733	1.72629e+016	0.499395	2.25477	2.24866e+017
94.9457	1.70837e+016	0.378033	1.70837e+016	0.500664	2.26848	2.23114e+017
94.6985	1.68824e+016	0.366805	1.68824e+016	0.505261	2.26323	2.21061e+017
94.4525	1.67536e+016	0.353588	1.67536e+016	0.512987	2.23097	2.19946e+017
94.2078	1.6749e+016	0.341413	1.6749e+016	0.522327	2.17834	2.20457e+017
93.9644	1.68849e+016	0.332365	1.68849e+016	0.531725	2.1164	2.22822e+017
93.7222	1.71522e+016	0.328122	1.71522e+016	0.53942	2.05783	2.26934e+017
93.4813	1.74861e+016	0.328991	1.74861e+016	0.543862	2.01496	2.31948e+017
93.2416	1.77856e+016	0.332299	1.77856e+016	0.545551	1.98974	2.36526e+017
93.0031	1.80331e+016	0.334941	1.80331e+016	0.546908	1.96975	2.40433e+017
92.7658	1.83123e+016	0.337904	1.83123e+016	0.548584	1.94627	2.4478e+017
92.5298	1.86487e+016	0.344083	1.86487e+016	0.548534	1.9275	2.49913e+017
92.295	1.8956e+016	0.352612	1.8956e+016	0.545991	1.92195	2.54677e+017
92.0613	1.91955e+016	0.360499	1.91955e+016	0.542852	1.92307	2.5855e+017
91.8288	1.94265e+016	0.368072	1.94265e+016	0.539913	1.92329	2.62323e+017
91.5975	1.96643e+016	0.377035	1.96643e+016	0.536056	1.92647	2.66205e+017
91.3674	1.9869e+016	0.386436	1.9869e+016	0.531367	1.93512	2.69654e+017
91.1384	2.00612e+016	0.395555	2.00612e+016	0.526804	1.94355	2.72947e+017
90.9105	2.02929e+016	0.406546	2.02929e+016	0.521657	1.95053	2.76791e+017
90.6838	2.05537e+016	0.421734	2.05537e+016	0.514108	1.96395	2.81049e+017
90.4582	2.07664e+016	0.440939	2.07664e+016	0.503157	1.99394	2.84666e+017
90.2338	2.08447e+016	0.461548	2.08447e+016	0.489365	2.04693	2.8645e+017
90.0104	2.07288e+016	0.480047	2.07288e+016	0.474125	2.12668	2.85564e+017
